,Time,video_time_First Stimulation,data_ca_df_f_First Stimulation
0,,,-0.020079073495507894
1,,,0.074281219070508
2,,,-0.007234376361893115
3,,,0.0260726906384931
4,,,-0.014556798769656038
5,,,-0.001088848345043438
6,,,0.020130799145920673
7,,,0.03243990306525426
8,,,0.02185126045926405
9,,,0.019654776336485387
10,,,0.015195515813580805
11,,,0.0004493683681748194
12,,,-0.0018214325425749969
13,,,-0.03357975246345616
14,,,0.05628389142050618
15,,,0.04574665021156554
16,,,-0.009163434414668582
17,,,0.012314880112835028
18,,,-0.026979019746121338
19,,,-0.025396295854545413
20,,,0.12810026658122434
21,,,0.31444305121730814
22,,,0.4502886155254035
23,,,0.6736664730830826
24,,,0.8750725193121126
25,,,0.8380612994757514
26,,,1.1482329900459554
27,,,1.1090549810658668
28,,,1.0078707626746177
29,,,1.2028114638528589
30,,,1.2159440520099718
31,,,1.340591960506084
32,,,1.3319981162280277
33,,,1.2832432156971625
34,,,1.2393954357189174
35,,,1.301637229800851
36,,,1.3381440980123744
37,,,1.298358666457106
38,,,1.4680764006388671
39,,,1.4833719030018537
40,,,1.3900369610757102
41,,,1.3321805075211468
42,,,1.27279602974273
43,,,1.49100847568726
44,,,1.6535900889618316
45,,,1.7785552766679686
46,,,2.086571825425323
47,,,2.1243617746125105
48,,,2.123893231789448
49,,,2.2222215410592394
50,,,2.2429250033717563
51,,,2.179659705805268
52,,,2.017296487016149
53,,,1.949625978331573
54,,,1.7496843809670357
55,,,1.7069680236179008
56,,,1.5500164984408429
57,,,1.4297019001446531
58,,,1.400063610480176
59,,,1.3447321042006073
60,,,1.237804459811152
61,,,1.1695062018033748
62,,,1.0852975852582856
63,,,1.025824199816602
64,,,0.976573075411554
65,,,0.9673027378717086
66,,,0.8302519540631415
67,,,0.8064538666433783
68,,,0.7459717916248201
69,,,0.7153152948703456
70,,,0.6957461563270421
71,,,0.6243432402460894
72,,,0.5445741246585547
73,,,0.5259563849115133
74,,,0.5205642144475312
75,,,0.47406953970969595
76,,,0.5036344674476236
77,,,0.3867045460490861
78,,,0.3416704598368676
79,,,0.3496358943743144
80,,,0.3966650250016439
81,,,0.3002204708225612
82,,,0.3196504690502597
83,,,0.35183929623518734
84,,,0.23829425068185126
85,,,0.2923417158056729
86,,,0.27813657052182045
87,,,0.25143716628465573
88,,,0.2410238326901184
89,,,0.21107243840482703
90,,,0.1782129726976498
91,,,0.14680318930108344
92,,,0.21717590567052153
93,,,0.15455314374675214
94,,,0.2101636613881322
95,,,0.1980173923624844
96,,,0.14099982157361668
97,,,0.2110272299492595
98,,,0.153437502032005
99,,,0.15237977575335904
100,,,0.36261154352175173
101,,,0.5047333811697742
102,,,0.6370771332519053
103,,,0.7498820390412863
104,,,0.6471552669513907
